company_clean,company,sector,sector_group,revenue_band,revenue_rank,employee_band,employee_rank,company_score,reviews_count
Bread Financial,Bread Financial,Finance,Finance,XL,6.0,XXL,7.0,3.9,1822.0
Breakforth Solutions Inc,Breakforth Solutions Inc,,,,,,,,
Breaking Barriers Behavioral Services Llc,Breaking Barriers Behavioral Services LLC,Hospitals and Health Centers,Health,,,,,,
Breaking Ground,Breaking Ground,NGOs and Nonprofit Organizations,Nonprofit Organizations,XS,2.0,L,5.0,3.0,106.0
"Breaksight, Inc.","BreakSight, Inc.",Biotechnology,Pharmaceuticals and Biotechnology,,,,,,
Breakthru Beverage Group,Breakthru Beverage Group,Wholesale Trade,Sales,XXL,7.0,XXL,7.0,3.7,864.0
Breakthru Beverage Missouri,Breakthru Beverage Missouri,Wholesale Trade,Sales,,,,,,
Breakthru Beverage Missouri Llc,BREAKTHRU BEVERAGE MISSOURI LLC,,,,,,,,
Breastfeeding Center,Breastfeeding Center,,,,,,,,
Breathe Pa,Breathe PA,Education and Vocational Training,Education,,,,,5.0,1.0
Breez,Breez,,,,,,,5.0,1.0
Breeze Airways™,Breeze Airways™,,,,,,,,
Breezeline,Breezeline,Telecommunications,Information Technology,,,XL,6.0,4.0,16.0
Breezeline (Hybrid),Breezeline (Hybrid),,,,,,,,
Breg,Breg,Electronic Product Manufacturing,Product Manufacturing,S,3.0,S,3.0,3.0,50.0
"Breg, Inc.","Breg, Inc.",Internet and Web Services,Information Technology,,,S,3.0,3.2,5.0
Bremer Bank,Bremer Bank,Banking and Credit Services,Finance,XXXL,8.0,XL,6.0,3.6,123.0
Brennan Buick Gmc,Brennan Buick GMC,Vehicle Dealerships,Automotive,,,,,,
Brenntag,Brenntag,Chemical Product Manufacturing,Product Manufacturing,XXXL,8.0,XXXL,8.0,3.2,722.0
Brentwood Bank,Brentwood Bank,,,XS,2.0,S,3.0,3.9,8.0
Brentwood Hospital,Brentwood Hospital,Healthcare,Health,,,,,3.2,93.0
Brentwood Industries Inc.,Brentwood Industries Inc.,Manufacturing,Product Manufacturing,M,4.0,L,5.0,3.4,102.0
Brethren Mutual Insurance Company,Brethren Mutual Insurance Company,,,M,4.0,S,3.0,3.5,6.0
Brevard County Board Of County Commissioners,Brevard County Board of County Commissioners,Municipal Agencies,Government,,,,,3.5,16.0
Brew Dr Kombucha,Brew Dr Kombucha,,,,,,,2.3,4.0
Brewers Supply Group,Brewers Supply Group,Manufacturing,Product Manufacturing,S,3.0,M,4.0,3.2,28.0
Brewlogix,BrewLogix,Internet and Web Services,Information Technology,,,,,,
"Brh-Garver Construction, Llc","BRH-Garver Construction, LLC",,,,,,,,
Brhe Group,BRHE Group,Accounting and Taxes,Finance,,,,,,
Briar Cliff University,Briar Cliff University,Education,Education,S,3.0,S,3.0,4.3,23.0
Brickyard Healthcare,Brickyard Healthcare,Nursing Homes and Retirement Homes,Childcare and Elderly Care,,,,,3.5,21.0
Brident Dental & Orthodontics,Brident Dental & Orthodontics,Healthcare,Health,,,XXS,1.0,3.0,190.0
Bridg,Bridg,,,XXXS,0.0,XS,2.0,1.9,15.0
"Bridge Authority, Nys","Bridge Authority, NYS",,,,,,,,
Bridge Automation,Bridge Automation,,,,,,,,
Bridge Brothers,Bridge Brothers,Metal and Mineral Manufacturing,Product Manufacturing,,,,,3.1,10.0
Bridge Energy Services,Bridge Energy Services,Electricity and Public Utilities,Government,,,,,,
Bridge Healthcare Partners,BRIDGE Healthcare Partners,Healthcare,Health,,,,,3.1,8.0
Bridge Housing Corporation,Bridge Housing Corporation,Real Estate,Real Estate,,,M,4.0,3.1,18.0
Bridge Investment Grup,Bridge Investment Grup,,,,,,,,
Bridge Pm,Bridge PM,,,,,,,,
Bridge Solutions Group,Bridge Solutions Group,Telecommunications,Information Technology,XXS,1.0,XS,2.0,4.6,38.0
Bridge Street Development Corporation,Bridge Street Development Corporation,NGOs and Nonprofit Organizations,Nonprofit Organizations,XXS,1.0,XS,2.0,3.9,7.0
Bridge33 Capital,Bridge33 Capital,,,XXXS,0.0,XXXS,0.0,2.0,1.0
Bridgebio,BridgeBio,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,,,,,,
Bridgecare Aba,BridgeCare ABA,Healthcare,Health,,,XS,2.0,5.0,2.0
Bridgehead It,Bridgehead IT,Information Technology,Information Technology,S,3.0,S,3.0,4.4,5.0
Bridgephase,BridgePhase,,,,,,,5.0,1.0
Bridgepoint Associates,BridgePoint Associates,,,,,XS,2.0,,
Bridgesoft,Bridgesoft,,,,,,,,
Bridgestone Americas,Bridgestone Americas,Transportation Equipment Manufacturing,Product Manufacturing,XXXL,8.0,XXXL,8.0,3.6,2396.0
Bridgestone Restaurant Group,Bridgestone Restaurant Group,Restaurants and Cafes,Restaurants and Food Services,,,,,,
Bridgestream Property Management,Bridgestream Property Management,,,,,,,,
Bridgeton Auto Mall,Bridgeton Auto Mall,Vehicle Dealerships,Automotive,,,,,,
Bridgewater Consulting Group,Bridgewater Consulting Group,Management and Consulting,Consulting,S,3.0,S,3.0,3.7,7.0
Bridgeway,Bridgeway,Community Services,Government,,,,,3.2,34.0
Bridgeway Benefit Technologies,Bridgeway Benefit Technologies,Information Technology,Information Technology,S,3.0,M,4.0,3.6,10.0
Bridging,Bridging,Community Services,Government,XS,2.0,XS,2.0,3.9,9.0
Bridging Access To Care Inc,Bridging Access To Care Inc,,,,,,,,
Bridging The Gap Therapy Solutions,Bridging the Gap Therapy Solutions,Healthcare,Health,,,XS,2.0,4.6,5.0
Brielle Technologies,Brielle Technologies,,,,,,,4.0,1.0
Briggs & Stratton,Briggs & Stratton,Consumer Products and Services,Sales,XL,6.0,XXL,7.0,3.5,742.0
Brigham & Women'S Hospital(Bwh),Brigham & Women's Hospital(BWH),,,,,,,,
Brigham Young University,Brigham Young University,Education,Education,L,5.0,XL,6.0,4.5,846.0
Bright Health,Bright Health,,,,,S,3.0,2.2,53.0
Bright Horizons Family Solutions,Bright Horizons Family Solutions,Childcare and Elderly Care,Childcare and Elderly Care,XL,6.0,XXXL,8.0,3.4,3055.0
Bright Innovation Labs,Bright Innovation Labs,Chemical Product Manufacturing,Product Manufacturing,,,,,2.8,35.0
Bright Machines,Bright Machines,Information Technology,Information Technology,,,M,4.0,4.0,4.0
"Bright Mls, Inc","Bright MLS, Inc",,,,,S,3.0,,
Bright Power,Bright Power,"Energy, Mining, and Public Infrastructure",Energy and Infrastructure,XS,2.0,XS,2.0,2.9,15.0
Bright Star Solutions Llc,Bright Star Solutions LLC,,,,,,,4.0,1.0
Bright Start Possibility Llc,Bright Start Possibility LLC,,,,,,,,
Bright Vision Technologies,Bright Vision Technologies,,,,,,,5.0,1.0
Brightcore Energy,Brightcore Energy,Electricity and Public Utilities,Government,,,,,,
Brightcove,Brightcove,Information Technology,Information Technology,M,4.0,L,5.0,3.9,34.0
Brightech,Brightech,Management and Consulting,Consulting,,,,,5.0,1.0
Brightfarms Inc,BrightFarms Inc,Agrarian,Agrarian,XS,2.0,M,4.0,3.6,17.0
Brightflow Ai,Brightflow AI,,,,,,,,
Brighthouse Financial,Brighthouse Financial,Insurance Companies,Insurance,XXL,7.0,XL,6.0,3.7,45.0
Brightkyte,BrightKyte,Hospitals and Health Centers,Health,,,,,,
Brightlink,BrightLink,,,,,XS,2.0,,
Brightly Software Inc.,Brightly Software Inc.,,,,,,,,
Brightmark Energy,Brightmark Energy,,,XXXS,0.0,XXXS,0.0,,
Brighton Jones,Brighton Jones,Asset and Investment Management,Finance,S,3.0,M,4.0,5.0,2.0
Brightpath Associates Llc,BrightPath Associates LLC,Staffing and Outsourcing,Human Resources,,,XS,2.0,,
Brightside Child & Family Advocacy (Previously...,Brightside Child & Family Advocacy (Previously...,,,,,,,,
Brightside Health,Brightside Health,Healthcare,Health,,,S,3.0,4.4,29.0
Brightspeed,Brightspeed,,,,,,,,
Brightspot,Brightspot,,,,,,,4.0,1.0
Brightspring Health Services,BrightSpring Health Services,Healthcare,Health,,,XXXL,8.0,2.8,2433.0
Brightstar Care,BrightStar Care,Healthcare,Health,M,4.0,S,3.0,3.5,2612.0
Brightstar Franchising,BrightStar Franchising,Healthcare,Health,M,4.0,S,3.0,3.5,2611.0
Brightstar Kids Services Corp,Brightstar Kids Services Corp,Healthcare,Health,,,,,5.0,4.0
Brightview Behavioral Health,BrightView Behavioral Health,Healthcare,Health,,,,,4.7,43.0
"Brightview Companies, Llc","BrightView Companies, LLC",,,,,,,,
Brightview Landscape Development,BrightView Landscape Development,"Construction, Repair, and Maintenance Services",Construction,L,5.0,XXXL,8.0,3.2,1196.0
Brightview Landscape Services,BrightView Landscape Services,"Construction, Repair, and Maintenance Services",Construction,L,5.0,XXXL,8.0,3.2,1194.0
Brightview Llc,Brightview Llc,"Construction, Repair, and Maintenance Services",Construction,L,5.0,XXXL,8.0,3.2,1194.0
Brightway Insurance Llc,BRIGHTWAY INSURANCE LLC,,,,,,,,
Brightwheel,brightwheel,Software Development,Information Technology,,,XS,2.0,3.3,7.0
Brigit,Brigit,,,,,,,,
Brigs Llc,Brigs LLC,,,,,,,3.0,3.0
"Brigs, Llc","BRIGS, LLC",,,,,S,3.0,1.0,1.0
Brih It C/O Compu Vision Consulting,BRIH IT C/O COMPU VISION CONSULTING,,,,,,,,
Brilliant,Brilliant,Consumer Product Manufacturing,Product Manufacturing,XXXS,0.0,XS,2.0,3.0,20.0
Brilliant Staffing Llc,Brilliant Staffing LLC,Human Resources Consulting,Human Resources,S,3.0,S,3.0,4.4,27.0
Brillient Corporation,Brillient Corporation,Information Technology,Information Technology,M,4.0,XL,6.0,2.7,124.0
Brilligent Solutions,Brilligent Solutions,,,,,,,5.0,1.0
Brillio,Brillio,Information Technology,Information Technology,M,4.0,XL,6.0,3.4,168.0
Brinco Manufacturing Inc,Brinco Manufacturing Inc,,,,,,,,
Bring Corp,Bring Corp,,,,,,,,
Brink'S Incorporated,Brink's Incorporated,Transportation and Logistics,Transportation and Logistics,L,5.0,XXXL,8.0,3.3,3845.0
Brinks Home,Brinks Home,Personal Consumer Services,Sales,,,XL,6.0,3.0,341.0
Bristlecone,Bristlecone,Restaurants and Cafes,Restaurants and Food Services,S,3.0,XL,6.0,3.8,126.0
Bristol Alliance Of Companies,Bristol Alliance of Companies,,,XXS,1.0,XS,2.0,4.3,3.0
Bristol Bay Area Health Corporation,Bristol Bay Area Health Corporation,,,S,3.0,M,4.0,4.0,35.0
Bristol Bay Industrial,Bristol Bay Industrial,Metal and Mineral Manufacturing,Product Manufacturing,,,,,3.8,4.0
Bristol County Savings Bank,Bristol County Savings Bank,Government and Public Administration,Government,S,3.0,S,3.0,3.8,25.0
Bristol Hospital & Healthcare Group,Bristol Hospital & Healthcare Group,Hospitals and Health Centers,Health,,,XL,6.0,,
Bristol Hospital Incorporated,Bristol Hospital Incorporated,Hospitals and Health Centers,Health,,,,,2.3,4.0
Bristol Myers Squibb,Bristol Myers Squibb,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,XXXL,8.0,XXXL,8.0,4.1,2118.0
Brit Properties,Brit Properties,,,,,,,,
Brite Homes,Brite Homes,,,,,,,4.0,3.0
Brittain Resorts & Hotels,Brittain Resorts & Hotels,Tourism and Accommodation,Tourism and Accommodation,XXS,1.0,XL,6.0,3.1,69.0
Brivo,Brivo,Information Technology,Information Technology,XS,2.0,M,4.0,3.3,19.0
Brixcel,BRIXCEL,,,,,XS,2.0,,
Brixey & Meyer,Brixey & Meyer,Accounting and Taxes,Finance,,,S,3.0,4.4,12.0
Brmi,BRMi,Information Technology,Information Technology,,,S,3.0,4.3,6.0
Broad Institute,Broad Institute,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,M,4.0,XL,6.0,4.0,83.0
Broad Reach Power,Broad Reach Power,Electricity and Public Utilities,Government,,,,,,
"Broadcast Music, Inc","Broadcast Music, Inc",,,,,,,,
Broadcom,Broadcom,Manufacturing,Product Manufacturing,XXL,7.0,XXXL,8.0,3.8,850.0
Broadleaf Group,Broadleaf Group,Consulting and Business Services,Consulting,XS,2.0,S,3.0,,
Broadleaf Results,Broadleaf Results,,,,,,,,
Broadridge,Broadridge,Finance,Finance,XS,2.0,XXXL,8.0,3.6,1007.0
"Broadstone Net Lease, Llc","Broadstone Net Lease, LLC",,,,,,,,
Broadview Federal Credit Union,Broadview Federal Credit Union,Banking and Credit Services,Finance,,,XL,6.0,4.4,7.0
Broadvoice,Broadvoice,IT Support,Information Technology,XXS,1.0,XS,2.0,3.3,20.0
Broadway Apothecary,Broadway Apothecary,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,,,XS,2.0,4.3,7.0
Broadway Bank,Broadway Bank,Banking and Credit Services,Finance,M,4.0,L,5.0,3.7,64.0
Broan-Nutone Llc,Broan-NuTone LLC,Manufacturing,Product Manufacturing,L,5.0,XL,6.0,3.1,110.0
Brock Group,Brock Group,"Construction, Repair, and Maintenance Services",Construction,XL,6.0,XXXL,8.0,3.6,830.0
Brockwell Technologies,Brockwell Technologies,,,XS,2.0,XS,2.0,4.5,2.0
Brohn Homes,Brohn Homes,,,,,,,1.0,1.0
"Brokers International, Ltd.","Brokers International, Ltd.",Insurance,Insurance,S,3.0,S,3.0,3.3,12.0
Bronco Billy'S | Bbc,Bronco Billy's | BBC,,,,,,,,
Bronco Wine Company,Bronco Wine Company,Wholesale and Retail Sales,Sales,M,4.0,M,4.0,3.0,143.0
Broner Glove And Safety,Broner Glove and Safety,Wholesale Trade,Sales,,,,,4.5,2.0
Bronson Healthcare,Bronson Healthcare,Healthcare,Health,XS,2.0,XXL,7.0,3.4,100.0
Brook Health,Brook Health,Hospitals and Health Centers,Health,,,,,,
Brookdale Associates,Brookdale Associates,Human Resources,Human Resources,,,,,4.6,5.0
Brooke Glen Behavioral Hospital,Brooke Glen Behavioral Hospital,Healthcare,Health,S,3.0,XS,2.0,2.9,68.0
Brookfield Asset Management,Brookfield Asset Management,Real Estate,Real Estate,L,5.0,XXXL,8.0,3.6,45.0
Brookfield Properties,Brookfield Properties,Real Estate,Real Estate,M,4.0,XL,6.0,3.7,328.0
Brookhaven National Laboratory,Brookhaven National Laboratory,Government and Public Administration,Government,S,3.0,XL,6.0,4.2,142.0
Brookline Bancorp,Brookline Bancorp,,,,,,,3.1,17.0
Brookline Public Schools,Brookline Public Schools,Education,Education,,,,,3.9,30.0
Brooklyn Community Services,Brooklyn Community Services,Community Services,Government,S,3.0,M,4.0,3.1,87.0
Brooklyn Defender Services,Brooklyn Defender Services,,,S,3.0,S,3.0,4.2,21.0
Brooklyn Heights,BROOKLYN HEIGHTS,,,,,,,3.5,4.0
Brooklyn Institute Of Arts And Scie,Brooklyn Institute Of Arts And Scie,,,,,,,,
Brooklyn Public Library,Brooklyn Public Library,NGOs and Nonprofit Organizations,Nonprofit Organizations,M,4.0,XL,6.0,3.9,167.0
Brooklyn Solarworks,Brooklyn SolarWorks,Electricity and Public Utilities,Government,XXS,1.0,S,3.0,3.8,5.0
Brooklyn Sports & Entertainment,Brooklyn Sports & Entertainment,National Agencies,Government,,,,,3.4,13.0
Brooks Automation,Brooks Automation,Manufacturing,Product Manufacturing,,,,,3.5,115.0
Brooks Instrument,Brooks Instrument,,,S,3.0,M,4.0,3.5,4.0
Brooks Rehabilitation,Brooks Rehabilitation,Healthcare,Health,M,4.0,XL,6.0,3.6,316.0
"Brooks Sports, Inc","Brooks Sports, Inc",Sporting Goods Stores,Sales,XL,6.0,L,5.0,3.8,64.0
Brookshire Grocery Company,Brookshire Grocery Company,Wholesale and Retail Sales,Sales,XL,6.0,XXXL,8.0,3.8,1645.0
Brooksource,Brooksource,Human Resources Consulting,Human Resources,M,4.0,L,5.0,3.7,190.0
"Brookwood Companies, Inc.","Brookwood Companies, Inc.",,,,,,,2.4,5.0
Brookwood Recruitment,Brookwood Recruitment,,,,,,,,
Brookwood School,Brookwood School,Education,Education,XS,2.0,S,3.0,4.1,9.0
Brose,Brose,Automotive Industry,Automotive,XXL,7.0,XXXL,8.0,3.6,785.0
Brother Usa,Brother USA,Electronic Product Manufacturing,Product Manufacturing,,,L,5.0,3.7,150.0
Brotherhood Mutual Insurance Company,Brotherhood Mutual Insurance Company,Insurance,Insurance,M,4.0,M,4.0,4.2,21.0
Brotman Law,Brotman Law,Law Firms,Legal,,,,,2.5,2.0
Broulim'S Fresh Foods,Broulim's Fresh Foods,,,,,M,4.0,3.5,90.0
Broulims Supermarkets Inc,Broulims Supermarkets Inc,,,,,M,4.0,3.6,93.0
Broward College,Broward College,Education,Education,XS,2.0,XL,6.0,4.2,485.0
Broward County Board Of County Commissioners,Broward County Board of County Commissioners,Government and Public Administration,Government,XL,6.0,XXXL,8.0,3.7,400.0
Broward County Public Schools,Broward County Public Schools,Education,Education,,,XXXL,8.0,3.8,464.0
Broward County Sheriff'S Office,Broward County Sheriff's Office,Government and Public Administration,Government,,,XXL,7.0,4.1,137.0
Broward Health Corporate,Broward Health Corporate,Healthcare,Health,XL,6.0,XXL,7.0,3.6,802.0
Broward Health Imperial Point,Broward Health Imperial Point,Healthcare,Health,XL,6.0,XXL,7.0,3.6,802.0
Brown & Brown Insurance,Brown & Brown Insurance,Insurance,Insurance,XL,6.0,XXXL,8.0,3.1,386.0
Brown Advisory,Brown Advisory,Finance,Finance,M,4.0,M,4.0,3.8,18.0
Brown And Caldwell,Brown and Caldwell,Electricity and Public Utilities,Government,L,5.0,XL,6.0,3.8,83.0
Brown Brothers Harriman,Brown Brothers Harriman,Finance,Finance,M,4.0,XXL,7.0,3.6,271.0
Brown Construction Services,Brown Construction Services,,,,,,,5.0,3.0
Brown Gibbons Lang & Company,Brown Gibbons Lang & Company,,,,,,,4.0,1.0
"Brown Health & Rehab Royston, Ga 30662","Brown Health & Rehab Royston, GA 30662",,,,,,,,
"Brown Point Facility Management Solutions, Llc","Brown Point Facility Management Solutions, LLC","Construction, Repair, and Maintenance Services",Construction,,,S,3.0,5.0,1.0
Brown University,Brown University,Universities and Professional Schools,Education,L,5.0,XXL,7.0,4.3,256.0
Brown'S Dulles Nissan,Brown's Dulles Nissan,,,,,,,3.2,11.0
Brown-Forman,Brown-Forman,Wholesale and Retail Sales,Sales,XL,6.0,XXL,7.0,3.8,152.0
Brownells Inc.,Brownells Inc.,,,,,,,3.3,37.0
"Brownells, Inc.","Brownells, Inc.",,,M,4.0,M,4.0,3.1,21.0
Brownstein Hyatt Farber Schreck,Brownstein Hyatt Farber Schreck,Law Firms,Legal,,,,,4.2,22.0
Brownwinick Law Firm,BrownWinick Law Firm,Law Firms,Legal,,,,,,
Browse Info Solutions.,Browse Info Solutions.,,,,,,,,
Brp,BRP,Consumer Product Manufacturing,Product Manufacturing,,,,,3.8,41.0
Brph,BRPH,,,,,,,3.6,14.0
Brs,BRS,,,,,,,,
Bruce Williams Homes,Bruce Williams Homes,,,,,XS,2.0,5.0,1.0
Bruckedwards Inc,BruckEdwards Inc,,,,,,,,
"Bruckedwards, Inc","BruckEdwards, Inc",Information Technology,Information Technology,,,,,3.0,2.0
Bruin Group,Bruin Group,,,,,,,1.0,1.0
Bruker,Bruker,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,XL,6.0,XXL,7.0,3.7,162.0
Brundage Bone Concrete Pumping,Brundage Bone Concrete Pumping,"Construction, Repair, and Maintenance Services",Construction,M,4.0,M,4.0,3.2,58.0
Brundage Mountain Resort,Brundage Mountain Resort,Tourism and Accommodation,Tourism and Accommodation,,,M,4.0,3.8,12.0
Bruno,Bruno,Personal Consumer Services,Sales,,,XXXS,0.0,3.8,15.0
Bruns Construction Enterprises,Bruns Construction Enterprises,"Construction, Repair, and Maintenance Services",Construction,XS,2.0,M,4.0,,
"Bruns-Pak, Inc.","BRUNS-PAK, Inc.",,,,,,,,
Brunswick Corporation,Brunswick Corporation,,,,,,,2.0,1.0
Brunswick County,Brunswick County,Government and Public Administration,Government,,,,,4.0,9.0
Brunswick County School District,Brunswick County School District,,,,,,,2.8,4.0
Brunswick County Schools,BRUNSWICK COUNTY SCHOOLS,Primary and Secondary Schools,Education,S,3.0,XL,6.0,3.8,60.0
Brunswick Housing Authority,Brunswick Housing Authority,Municipal Agencies,Government,,,,,2.8,6.0
Brushee,Brushee,,,,,,,,
"Brushy Creek Mud, Texas","Brushy Creek MUD, Texas",,,,,,,,
Bryan University,Bryan University,Education,Education,XS,2.0,M,4.0,3.6,85.0
Bryant Bank,Bryant Bank,Banking and Credit Services,Finance,S,3.0,M,4.0,4.0,5.0
Bryant Staffing Solutions,Bryant Staffing Solutions,Human Resources,Human Resources,,,XXXS,0.0,,
Bryant University,Bryant University,Education,Education,M,4.0,M,4.0,4.3,60.0
Brycetech,BryceTech,Aerospace and Defense,Government,,,XS,2.0,3.0,2.0
Bryn Athyn,Bryn Athyn,,,,,,,5.0,1.0
Bryn Mawr College,Bryn Mawr College,Education,Education,M,4.0,L,5.0,4.3,44.0
Bsa Danvers Building,BSA Danvers Building,,,,,,,,
Bsa Hospital,BSA Hospital,Healthcare,Health,XXXS,0.0,XL,6.0,3.5,188.0
Bsa Service Corp,BSA Service corp,Staffing and Outsourcing,Human Resources,,,,,,
Bsa Service Corp.,BSA Service Corp.,Staffing and Outsourcing,Human Resources,,,,,,
Bsa Services,BSA Services,Accounting and Taxes,Finance,,,,,,
Bsa Services Corp,BSA Services Corp,,,,,,,,
Bsa Services Corp.,BSA Services Corp.,Staffing and Outsourcing,Human Resources,,,,,,
Bsa Technologies,BSA Technologies,,,,,,,,
Bsa-Tech,BSA-Tech,IT Support,Information Technology,,,,,,
"Bsc Industries, Inc","BSC Industries, Inc",Wholesale Trade,Sales,,,S,3.0,,
Bse Global,BSE Global,Legal,Legal,,,M,4.0,4.2,5.0
Bsi,BSI,Management and Consulting,Consulting,,,,,3.0,15.0
Bsi Financial Services,BSI Financial Services,Finance,Finance,XS,2.0,M,4.0,3.1,67.0
Bst & Co Cpas Llp,BST & CO CPAS LLP,Finance,Finance,,,,,4.0,2.0
"Bst & Co. Cpas, Llp","BST & Co. CPAs, LLP",Finance,Finance,,,,,4.0,2.0
Bswift,bswift,Human Resources,Human Resources,M,4.0,S,3.0,3.0,50.0
Btas,BTAS,,,,,,,2.5,6.0
Btbk Accounting Services Llc,BTBK Accounting Services LLC,Accounting and Taxes,Finance,,,,,,
Btechnical Group,Btechnical Group,Information Technology,Information Technology,,,,,,
Btg Specialty Pharmaceuticals,BTG Specialty Pharmaceuticals,Pharmaceutical Industry,Pharmaceuticals and Biotechnology,,,,,1.0,2.0
Bti Solutions,BTI Solutions,Telecommunications,Information Technology,S,3.0,M,4.0,2.7,29.0
Bts,BTS,Business Consulting,Consulting,XS,2.0,XS,2.0,3.6,60.0
"Bts Landscaping, Inc.","BTS Landscaping, Inc.",,,,,,,4.0,1.0
Bts Software Solutions,BTS Software Solutions,Information Technology,Information Technology,XXXS,0.0,XS,2.0,4.3,8.0
Bubble,Bubble,Furniture and Home Goods Stores,Sales,,,,,4.2,6.0
"Buc-Ee'S, Ltd.","Buc-ee's, Ltd.",,,,,,,,
Buchanan & Edwards,Buchanan & Edwards,Government and Public Administration,Government,S,3.0,L,5.0,4.1,30.0
Buchanan And Edwards Group,Buchanan And Edwards Group,,,,,,,,
Buchanan And Edwards Inc,Buchanan And Edwards Inc,,,,,,,,
Buchi Corporation,Buchi Corporation,Finance,Finance,,,,,3.1,8.0
Buck Institute For Research On Aging,Buck Institute for Research on Aging,NGOs and Nonprofit Organizations,Nonprofit Organizations,S,3.0,M,4.0,4.1,33.0
Bucked Up,Bucked Up,Food and Beverage Stores,Food and Beverage,,,,,5.0,2.0
Bucked Up By Das Labs,Bucked Up by DAS LABS,,,,,,,,
Bucket Listers,Bucket Listers,,,,,,,,
Buckeye Community Health Plan,Buckeye Community Health Plan,Health and Insurance,Health,XXXL,8.0,XXXL,8.0,3.2,4643.0
Buckeye Global,Buckeye Global,,,,,,,5.0,1.0
"Buckeye Partners, L.P.","Buckeye Partners, L.P.","Energy, Mining, and Public Infrastructure",Energy and Infrastructure,XXL,7.0,XL,6.0,3.3,90.0
Buckeye State Bank,Buckeye State Bank,,,,,,,1.0,1.0
Buckingham Companies,Buckingham Companies,Real Estate,Real Estate,S,3.0,M,4.0,3.5,40.0
Buckingham Properties Llc,Buckingham Properties LLC,,,,,,,,
Buckle,Buckle,Wholesale and Retail Sales,Sales,L,5.0,XXL,7.0,3.7,1863.0
Buco,BUCO,Wholesale and Retail Sales,Sales,,,,,2.5,4.0
"Budd, Terry & Associates","Budd, Terry & Associates",,,,,,,,
Budderfly,Budderfly,Electricity and Public Utilities,Government,,,XS,2.0,3.0,4.0
Buddobot Inc,BuddoBot Inc,,,XXXS,0.0,XXXS,0.0,4.5,6.0
Buddys Plant Plus,BUDDYS PLANT PLUS,Agrarian,Agrarian,,,,,3.3,23.0
Budget Saver Pops,Budget Saver Pops,,,,,,,,
"Budget, Division Of","Budget, Division of",,,,,,,,
Buehler An Itw Company,Buehler An ITW Company,,,,,,,,
Buffalo And Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,,,,,,5.0,1.0
Buffalo Federation Of Neighborhood Centers,Buffalo Federation of Neighborhood Centers,,,,,,,3.1,19.0
Buffalo Federation Of Neighborhood Centers (Bfnc),Buffalo Federation of Neighborhood Centers (BFNC),,,,,,,,
Buffalo Rock Company,Buffalo Rock Company,Manufacturing,Product Manufacturing,M,4.0,XL,6.0,3.1,438.0
Buffalo Run Casino & Resort,Buffalo Run Casino & Resort,Tourism and Accommodation,Tourism and Accommodation,XS,2.0,M,4.0,3.4,37.0
Buffalo Specialties,Buffalo Specialties,,,XS,2.0,S,3.0,3.5,4.0
Buhl School District,Buhl School District,,,,,,,3.0,1.0
Build,Build,"Construction, Repair, and Maintenance Services",Construction,XXXS,0.0,XXXS,0.0,4.2,22.0
Build Inc,Build Inc,Real Estate Management,Real Estate,,,,,4.2,13.0
Build-A-Bear,Build-A-Bear,Wholesale and Retail Sales,Sales,M,4.0,XXL,7.0,3.9,1409.0
Build-A-Bear Workshop,Build-A-Bear Workshop,Wholesale and Retail Sales,Sales,M,4.0,XXL,7.0,3.9,1409.0
Builders Firstsource,Builders FirstSource,Construction,Construction,XXXL,8.0,XXXL,8.0,3.6,1335.0
Builders Insurance Group,Builders Insurance Group,Insurance,Insurance,,,M,4.0,3.0,13.0
Builders Mutual,Builders Mutual,Insurance Companies and Investment Societies,Insurance,M,4.0,M,4.0,4.3,24.0
"Building & Earth Sciences, Inc.","Building & Earth Sciences, Inc.","Construction, Repair, and Maintenance Services",Construction,S,3.0,M,4.0,3.9,212.0
Building Bridges Across The River,Building Bridges Across the River,,,,,,,3.2,5.0
"Building Bridges, Inc.","Building Bridges, Inc.",,,,,,,,
Building Industry Partners,Building Industry Partners,,,,,,,,
Building Service 32Bj Benefit Funds,Building Service 32BJ Benefit Funds,NGOs and Nonprofit Organizations,Nonprofit Organizations,,,M,4.0,3.5,58.0
Buildout,Buildout,,,,,XS,2.0,5.0,1.0
Built Capital,Built Capital,,,,,,,,
Built Technologies,Built Technologies,Information Technology,Information Technology,S,3.0,M,4.0,3.0,7.0
"Bulding Minds, Llc","Bulding Minds, LLC",Information Technology,Information Technology,,,,,,
Bulgari S.P.A,Bulgari S.P.A,Manufacturing,Product Manufacturing,,,,,4.0,69.0
Bulksupplements.Com,BulkSupplements.com,Wholesale and Retail Sales,Sales,,,S,3.0,2.5,26.0
Bull City Talent Group,Bull City Talent Group,,,,,XS,2.0,5.0,1.0
Bulletproof Solutions,Bulletproof Solutions,Gambling,Entertainment,S,3.0,XL,6.0,3.5,59.0
Bullfrog Ai Management Llc,Bullfrog Ai Management Llc,,,,,,,,
